location,baseline,week0315,week0322
AK,0,49.787234042553195,22.680851063829785
AL,2.0060790273556233,28.62006079027356,83.45288753799392
AR,1.519756838905775,46.80851063829787,105.16717325227964
AZ,0.25075987841945285,15.714285714285715,34.27051671732523
CA,1.3214285714285714,28.857142857142858,36.285714285714285
CO,1.8516009852216746,72.39162561576354,77.40886699507388
CT,3.2019704433497536,36.662561576354676,42.26600985221675
DC,4.135338345864662,85.71428571428572,94.3609022556391
DE,4.495073891625616,69.21182266009852,126.10837438423644
FL,1.3714285714285714,21.942857142857143,59.06285714285715
GA,1.1828571428571428,18.728571428571428,49.285714285714285
HI,1.3571428571428572,80.34285714285714,76.27142857142857
IA,2.447521865889213,42.778425655976676,48.099125364431494
ID,0,30.285714285714285,60.57142857142857
IL,2.742711370262391,39.74344023323616,58.3731778425656
IN,2.623906705539359,58.309037900874635,134.9854227405248
KS,4.646501457725948,41.326530612244895,70.6268221574344
KY,2.7694099378881987,71.8695652173913,112.12732919254658
LA,2.296583850931677,57.27950310559006,116.18012422360249
MA,0.34795918367346934,16.322448979591837,20.877551020408163
MD,0.8618012422360248,41.36645962732919,74.45962732919256
ME,0,108.38509316770185,72.98136645962732
MI,3.7755102040816326,91.42857142857143,184.08163265306123
MN,0.503061224489796,9.824489795918367,12.546938775510204
MO,2.8049999999999997,36.74,78.76
MS,0,46.6530612244898,104.69387755102042
MT,4.34,52.08,62.440000000000005
NC,1.7961309523809526,38.035714285714285,64.02678571428572
ND,3.4970238095238098,54.166666666666664,48.80952380952381
NE,0.8914285714285715,64.73142857142857,70.76571428571428
NH,1.6172506738544474,77.088948787062,100.53908355795149
NJ,1.9588948787061995,27.50134770889488,43.94070080862534
NM,2.803234501347709,27.681940700808624,37.493261455525605
NV,2,116.57142857142857,104
NY,1.7547169811320753,32.58760107816711,53.309973045822105
OH,2.2075892857142856,53.598214285714285,70.64285714285714
OK,4.110863095238095,29.345238095238095,101.94940476190476
OR,1.5797872340425534,51.48936170212766,74.65957446808511
PA,3.0227963525835864,56.89969604863222,60.45592705167173
RI,1.8996960486322187,39.817629179331306,75.6838905775076
SC,0.899696048632219,34.86322188449848,71.30091185410335
SD,0,30.70989010989011,61.41978021978022
TN,3.3516483516483517,43.956043956043956,93.1868131868132
TX,1.830769230769231,20.923076923076923,44.53626373626374
USA,2.0292207792207795,49.350649350649356,82.95454545454545
UT,0.3758241758241758,20.294505494505493,25.681318681318682
VA,0.8755760368663594,16.22119815668203,33.17972350230415
VT,3.8018433179723496,24.88479262672811,140.55299539170505
WA,1.140552995391705,13.230414746543778,19.46543778801843
WI,1.4210526315789473,14.887218045112782,25.308270676691727
WV,1.6451612903225805,27.967741935483872,39.953917050691246
WY,3.721804511278195,43.64661654135338,108.94736842105262
