date,hits,location,hits_ma
2020-02-22,1.1363636363636365,USA,NA
2020-02-23,1.1363636363636365,USA,NA
2020-02-24,2.272727272727273,USA,NA
2020-02-25,2.272727272727273,USA,NA
2020-02-26,2.272727272727273,USA,NA
2020-02-27,2.272727272727273,USA,NA
2020-02-28,1.1363636363636365,USA,NA
2020-02-29,1.1363636363636365,USA,NA
2020-03-01,1.1363636363636365,USA,NA
2020-03-02,2.272727272727273,USA,NA
2020-03-03,2.272727272727273,USA,NA
2020-03-04,1.1363636363636365,USA,NA
2020-03-05,3.409090909090909,USA,NA
2020-03-06,1.1363636363636365,USA,NA
2020-03-07,1.1363636363636365,USA,NA
2020-03-08,1.1363636363636365,USA,NA
2020-03-09,1.1363636363636365,USA,NA
2020-03-10,2.272727272727273,USA,NA
2020-03-11,1.1363636363636365,USA,NA
2020-03-12,2.272727272727273,USA,NA
2020-03-13,5.6818181818181825,USA,NA
2020-03-14,4.545454545454546,USA,NA
2020-03-15,6.818181818181818,USA,NA
2020-03-16,32.95454545454546,USA,NA
2020-03-17,53.409090909090914,USA,NA
2020-03-18,63.63636363636364,USA,NA
2020-03-19,64.77272727272728,USA,NA
2020-03-20,75,USA,NA
2020-03-21,48.86363636363637,USA,NA
2020-03-22,47.727272727272734,USA,NA
2020-03-23,80.68181818181819,USA,NA
2020-03-24,73.86363636363637,USA,NA
2020-03-25,84.0909090909091,USA,NA
2020-03-26,113.63636363636364,USA,NA
2020-03-27,105.68181818181819,USA,NA
2020-03-28,75,USA,NA
2020-03-29,65.90909090909092,USA,NA
2020-03-30,103.40909090909092,USA,NA
2020-03-31,100.00000000000001,USA,NA
2020-04-01,92.04545454545455,USA,NA
2020-04-02,98.86363636363637,USA,NA
2020-04-03,81.81818181818183,USA,NA
2020-04-04,52.27272727272728,USA,NA
2020-04-05,46.59090909090909,USA,NA
2020-04-06,69.31818181818183,USA,NA
2020-04-07,62.50000000000001,USA,NA
2020-04-08,62.50000000000001,USA,NA
2020-04-09,68.18181818181819,USA,NA
2020-04-10,60.227272727272734,USA,NA
2020-04-11,38.63636363636364,USA,NA
2020-04-12,40.909090909090914,USA,NA
2020-04-13,60.227272727272734,USA,NA
2020-04-14,53.409090909090914,USA,NA
2020-04-15,60.227272727272734,USA,NA
2020-04-16,53.409090909090914,USA,NA
2020-04-17,43.18181818181819,USA,NA
2020-04-18,29.545454545454547,USA,NA
2020-04-19,39.77272727272727,USA,NA
2020-04-20,47.727272727272734,USA,NA
2020-04-21,39.77272727272727,USA,NA
2020-04-22,36.36363636363637,USA,NA
2020-04-23,42.04545454545455,USA,NA
2020-04-24,36.36363636363637,USA,NA
2020-04-25,25.000000000000004,USA,NA
2020-04-26,34.09090909090909,USA,NA
2020-04-27,40.909090909090914,USA,NA
2020-04-28,36.36363636363637,USA,NA
2020-04-29,32.95454545454546,USA,NA
2020-04-30,35.227272727272734,USA,NA
2020-05-01,30.681818181818183,USA,NA
2020-05-02,22.72727272727273,USA,NA
2020-05-03,27.272727272727273,USA,NA
2020-05-04,31.81818181818182,USA,NA
2020-02-22,0,AZ,-1.2688263138573217e-16
2020-02-23,0,AZ,-1.2688263138573217e-16
2020-02-24,0,AZ,-1.2688263138573217e-16
2020-02-25,0,AZ,-1.2688263138573217e-16
2020-02-26,0,AZ,-1.2688263138573217e-16
2020-02-27,0,AZ,-1.2688263138573217e-16
2020-02-28,0,AZ,-1.2688263138573217e-16
2020-02-29,0,AZ,-1.2688263138573217e-16
2020-03-01,0,AZ,-1.2688263138573217e-16
2020-03-02,0,AZ,-1.2688263138573217e-16
2020-03-03,0,AZ,-1.2688263138573217e-16
2020-03-04,3.5106382978723403,AZ,0.5015197568389056
2020-03-05,0,AZ,0.5015197568389056
2020-03-06,0,AZ,0.5015197568389056
2020-03-07,0,AZ,0.5015197568389056
2020-03-08,0,AZ,0.5015197568389056
2020-03-09,0,AZ,0.5015197568389056
2020-03-10,0,AZ,0.5015197568389056
2020-03-11,0,AZ,-1.2688263138573217e-16
2020-03-12,3.5106382978723403,AZ,0.5015197568389056
2020-03-13,0,AZ,0.5015197568389056
2020-03-14,0,AZ,0.5015197568389056
2020-03-15,0,AZ,0.5015197568389056
2020-03-16,4.680851063829787,AZ,1.1702127659574466
2020-03-17,4.680851063829787,AZ,1.8389057750759876
2020-03-18,19.893617021276597,AZ,4.680851063829787
2020-03-19,21.06382978723404,AZ,7.188449848024317
2020-03-20,28.085106382978722,AZ,11.20060790273556
2020-03-21,31.595744680851066,AZ,15.714285714285714
2020-03-22,9.361702127659575,AZ,17.051671732522795
2020-03-23,23.404255319148938,AZ,19.726443768996962
2020-03-24,32.765957446808514,AZ,23.738601823708205
2020-03-25,47.97872340425532,AZ,27.75075987841945
2020-03-26,32.765957446808514,AZ,29.422492401215806
2020-03-27,62.02127659574468,AZ,34.27051671732523
2020-03-28,31.595744680851066,AZ,34.27051671732523
2020-03-29,36.276595744680854,AZ,38.11550151975684
2020-03-30,52.659574468085104,AZ,42.29483282674772
2020-03-31,64.36170212765957,AZ,46.808510638297875
2020-04-01,30.425531914893618,AZ,44.30091185410334
2020-04-02,46.808510638297875,AZ,46.306990881458965
2020-04-03,38.61702127659574,AZ,42.963525835866264
2020-04-04,30.425531914893618,AZ,42.796352583586625
2020-04-05,35.1063829787234,AZ,42.62917933130699
2020-04-06,31.595744680851066,AZ,39.620060790273556
2020-04-07,15.212765957446809,AZ,32.598784194528875
2020-04-08,30.425531914893618,AZ,32.598784194528875
2020-04-09,23.404255319148938,AZ,29.25531914893617
